esiv,react_volume_overshoot,img_overshoot,wash_overshoot,quencher_period,well_plate,interweaving,AP,SP,Img,quencher,total_wells_req,plates_req,largest_reservoir,waste_mL
700.0,1.15,2.05,2.15,0.5,1700.0,0.0,20,20,42,40,122,2.0,624,1701
750.0,1.15,2.05,2.15,0.5,1700.0,0.0,20,20,42,40,122,2.0,667,1809
800.0,1.15,2.05,2.15,0.5,1700.0,0.0,40,40,42,80,202,3.0,710,1916
850.0,1.15,2.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,753,2023
900.0,1.15,2.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,796,2130
950.0,1.15,2.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,839,2237
1000.0,1.15,2.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,882,2344
700.0,1.15,2.5,2.15,0.5,1700.0,0.0,20,20,84,40,164,2.0,624,1714
750.0,1.15,2.5,2.15,0.5,1700.0,0.0,20,20,84,40,164,2.0,667,1822
800.0,1.15,2.5,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,710,1930
850.0,1.15,2.5,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,753,2038
900.0,1.15,2.5,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,796,2146
950.0,1.15,2.5,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,839,2254
1000.0,1.15,2.5,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,882,2362
700.0,1.15,3.05,2.15,0.5,1700.0,0.0,20,20,84,40,164,2.0,624,1729
750.0,1.15,3.05,2.15,0.5,1700.0,0.0,20,20,84,40,164,2.0,667,1839
800.0,1.15,3.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,710,1948
850.0,1.15,3.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,753,2057
900.0,1.15,3.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,796,2166
950.0,1.15,3.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,839,2275
1000.0,1.15,3.05,2.15,0.5,1700.0,0.0,40,40,84,80,244,3.0,882,2384
700.0,1.15,2.05,2.15,1.0,1700.0,0.0,20,20,42,20,102,2.0,624,1550
750.0,1.15,2.05,2.15,1.0,1700.0,0.0,20,20,42,20,102,2.0,667,1646
800.0,1.15,2.05,2.15,1.0,1700.0,0.0,40,40,42,40,162,2.0,710,1742
850.0,1.15,2.05,2.15,1.0,1700.0,0.0,40,40,84,40,204,3.0,753,1839
900.0,1.15,2.05,2.15,1.0,1700.0,0.0,40,40,84,40,204,3.0,796,1935
950.0,1.15,2.05,2.15,1.0,1700.0,0.0,40,40,84,40,204,3.0,839,2032
