ENGINEER,PARENT,PARTNO,DESCRIPTION,REV,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED,ORDERER,DATE ORDERED,EXP REC DATE
V. Asman,RC-ASY-00115,RC-FAB-00555,"GAS SPRING BRACKET, BODY, PRIMARY ENCLOSURE, RC2-B",01,2,,,PROTOTEK,RC-FAB-00555,3,$128.50,$257.00,,1,12,,,,,
V. Asman,RC-ASY-00115,RC-FAB-00747,"SHROUD, SAMPLE CARRIER, RC2-B",01,1,,,IMPM,RC-FAB-00747,6,$156.64,$156.64,Includes paint $30 per,1,6,,,,,
V. Asman,RC-ASY-00115,MCM 91290A124,"SHCS, M3x0.5, 22mm, Alloy Steel, Black Oxide",-,4,MCMASTER,91290A124,,,1,$0.10,$0.40,,1,24,,,,,
V. Asman,RC-ASY-00115,MCM 92095A207,"BHCS, M5x0.8, 8mm, 18-8 SS",-,8,MCMASTER,92095A207,,,1,$0.14,$1.08,,1,48,,,,,
V. Asman,RC-ASY-00115,MCM 92125A127,"FHCS, M3x0.5, 4mm, 18-8 SS",-,4,MCMASTER,92125A127,,,1,$0.15,$0.62,,1,24,,,,,
V. Asman,RC-ASY-00115,MCM 92196A144,"SHCS, 6-32, 1_4IN, 18-8 SS",-,3,MCMASTER,92196A144,,,1,$0.04,$0.12,,1,18,,,,,
V. Asman,RC-ASY-00115,MCM 93395A304,"FHCS, M5x0.8, 12mm, 316 SS",-,4,MCMASTER,93395A304,,,1,$0.22,$0.87,,1,24,,,,,
G. Daidone,RC-ASY-00116,RC-FAB-00727,"TOP SHROUD, SECONDARY SYSTEM, RC2-B",03,1,,,IMPM,RC-FAB-00727,5,$255.81,$255.81,"This includes paint from IMPM, not Empire",1,6,,,,,
G. Daidone,RC-ASY-00116,RC-FAB-00736,"BALL STUD CATCH BRACKET, LOWER, INNER SHROUD, SECONDARY SYS, RC2",00,1,,,PROTOLABS,RC-FAB-00736,2,$224.71,$224.71,,1,6,,,,,
G. Daidone,RC-ASY-00116,RC-FAB-00742,"BALL STUD CATCH BRACKET, UPPER, INNER SHROUD, SECONDARY SYSTEM",00,2,,,PROTOLABS,RC-FAB-00742,2,$62.43,$124.86,,1,12,,,,,
