File,X,Y,Z
.\sipper\sipper_1\unit0_2021-10-14T00_18_19.747276Z.yaml,230442462,28425132,-11955898
.\sipper\sipper_1\unit0_2021-10-14T00_21_19.304284Z.yaml,230467450,28425122,-11955898
.\sipper\sipper_2\unit0_2021-10-14T00_24_16.493929Z.yaml,230542540,28550162,-11655898
.\sipper\sipper_2\unit0_2021-10-14T00_26_48.436519Z.yaml,230567490,28550155,-11655898
.\sipper\sipper_2\unit0_2021-10-14T00_29_09.002327Z.yaml,230567492,28550162,-11655898
.\sipper\sipper_3\unit0_2021-10-14T00_32_17.115516Z.yaml,230492465,28375140,-11505898
.\sipper\sipper_3\unit0_2021-10-14T00_34_50.083046Z.yaml,230542485,28400160,-11505898
.\sipper\sipper_3\unit0_2021-10-14T00_37_11.987762Z.yaml,230542545,28400135,-11505898
.\sipper\sipper_4\unit0_2021-10-14T00_40_11.512403Z.yaml,230392555,28425192,-11605898
.\sipper\sipper_4\unit0_2021-10-14T00_42_41.120521Z.yaml,230417532,28425165,-11605898
.\sipper\sipper_4\unit0_2021-10-14T00_54_28.286719Z.yaml,230417417,28425140,-11605898
.\sipper\sipper_5\unit0_2021-10-14T00_57_20.661118Z.yaml,230642487,28300152,-11505898
.\sipper\sipper_5\unit0_2021-10-14T00_59_44.807750Z.yaml,230642495,28300152,-11505898
.\sipper\sipper_5\unit0_2021-10-14T01_02_11.543055Z.yaml,230642460,28300160,-11505898
.\sipper\sipper_6\unit0_2021-10-14T01_05_19.056251Z.yaml,230492482,28575185,-11555898
.\sipper\sipper_6\unit0_2021-10-14T01_07_46.429781Z.yaml,230517610,28575147,-11555898
.\sipper\sipper_6\unit0_2021-10-14T01_10_36.751280Z.yaml,230517530,28575150,-11555898
