Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,paint thk,Fiducial mask height,fid pnt thk
1,24.99,74.87,1.064,19.92,1.073,0.009,1.078,0.014
2,24.99,74.84,1.062,2.014,1.075,0.013,1.081,0.019
3,25.07,74.94,1.068,2.05,1.077,0.009,1.085,0.017
4,25.06,74.97,1.063,20.04,1.074,0.011,1.081,0.018
5,25.01,75.09,1.054,20,1.062,0.008,1.077,0.023
6,24.98,74.77,1.059,19.89,1.077,0.018,1.082,0.023
7,25.04,74.97,1.056,19.9,1.064,0.008,1.074,0.018
8,25,74.74,1.06,19.73,1.073,0.013,1.082,0.022
9,24.91,74.87,1.064,19.85,1.072,0.008,1.084,0.02
10,24.97,74.91,1.051,19.89,1.06,0.009,1.071,0.02
11,25.02,75.03,1.054,19.74,1.067,0.013,1.074,0.02
12,24.84,74.9,1.056,20.04,1.064,0.008,1.07,0.014
13,24.95,74.94,1.07,20.15,1.082,0.012,1.087,0.017
14,25,75.01,1.044,19.73,1.052,0.008,1.062,0.018
15,25.09,74.91,1.054,19.93,1.065,0.011,1.071,0.017
