Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,paint thk,Fiducial mask height,fid pnt thk
1,25.35,75.47,0.985,18.85,1.006,0.021,0,-0.985
2,25.26,75.49,1.001,18.53,1.02,0.019,,-1.001
3,25.16,75.47,1.012,18.53,1.03,0.018,,-1.012
4,25.3,75.46,0.998,19.21,1.019,0.021,,-0.998
5,25.32,75.46,1.003,19.01,1.019,0.016,,-1.003
6,25.29,75.48,1.013,19.01,1.024,0.011,,-1.013
7,25.13,75.42,1.014,18.91,1.032,0.018,,-1.014
8,25.18,75.39,0.966,19.05,0.985,0.019,,-0.966
9,25.09,75.39,0.967,19.28,0.984,0.017,,-0.967
10,25.09,74.42,1.011,18.92,1.026,0.015,,-1.011
11,25.21,75.41,1.016,18.65,1.03,0.014,,-1.016
12,25.26,75.45,1.019,18.47,1.033,0.014,,-1.019
13,25.22,75.46,1.018,18.52,1.028,0.01,,-1.018
14,25.29,75.44,1.018,19.17,1.034,0.016,,-1.018
15,25.29,75.46,0.999,19.16,1.018,0.019,,-0.999
