Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,Paint thk,Fiducial mask height,Paint thk fid
1,25.32,75.63,0.994,19,1.008,0.014,1.003,0.014
2,25.33,75.54,0.987,19.36,1.001,0.014,0.997,0.014
3,25.36,75.67,1,19.1,1.007,0.007,1.002,0.007
4,25.38,75.64,0.978,19.05,0.999,0.021,0.989,0.021
5,25.33,75.09,0.998,19.27,1.006,0.008,1.001,0.008
6,25.4,75.63,0.998,19.17,1.004,0.006,1.012,0.006
7,25.39,75.59,0.997,19.1,1.009,0.012,1.004,0.012
8,25.43,75.61,0.982,19.2,0.999,0.017,0.991,0.017
9,25.42,75.54,0.983,19.58,0.999,0.016,0.994,0.016
10,25.3,75.71,0.981,19.45,1.001,0.02,0.993,0.02
11,25.31,75.53,0.982,19.49,0.998,0.016,0.994,0.016
12,25.29,75.55,0.984,19.5,1,0.016,0.992,0.016
13,25.43,75.71,0.983,19.38,1,0.017,0.992,0.017
14,25.43,75.61,0.983,19.13,0.998,0.015,0.991,0.015
15,25.31,75.53,0.982,19.1,0.996,0.014,0.993,0.014
16,25.36,75.56,0.983,19.34,1.002,0.019,0.994,0.019
17,25.35,75.55,0.983,19.36,0.999,0.016,0.993,0.016
18,25.32,75.53,0.982,19.3,0.998,0.016,0.992,0.016
19,25.52,75.79,0.983,19.63,1,0.017,0.995,0.017
20,25.43,75.61,0.981,19.02,1.007,0.026,0.991,0.026
