Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,paint thk,Fiducial mask height,fid pnt thk
1,25.15,75.3,1.037,18.54,1.05,0.013,1.054,0.017
2,25.14,75.29,1.041,18.52,1.057,0.016,1.058,0.017
3,25.13,75.29,1.05,18.74,1.067,-17.673,1.061,-17.679
4,25.14,75.3,1.044,18.52,1.054,-17.466,1.057,-17.463
5,25.15,75.33,1.042,18.65,1.051,0.009,1.058,0.016
6,25.13,75.29,1.044,18.6,1.055,0.011,1.061,0.017
7,25.14,75.3,1.045,18.26,1.053,0.008,1.061,0.016
8,25.12,75.34,1.038,18.64,1.054,0.016,1.057,0.019
9,25.11,75.33,1.008,18.49,1.021,0.013,1.023,0.015
10,25.11,75.31,1.042,18.53,1.058,0.016,1.057,0.015
