Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,paint thk,Fiducial mask height,fid pnt thk
1,25.2,75.42,0.988,18.44,0.996,0.008,1,0.012
2,25.22,75.43,0.989,18.53,1.004,0.015,1.003,0.014
3,25.26,75.45,0.992,18.5,1.011,0.019,1.006,0.014
4,25.05,75.48,1.025,18.62,1.038,0.013,1.036,0.011
5,25.17,75.45,0.985,18.32,0.998,0.013,0.993,0.008
6,25.24,75.46,0.986,18.59,1.001,0.015,1.001,0.015
7,25.22,75.44,0.981,18.33,1,0.019,0.996,0.015
8,25.26,75.46,0.98,18.38,0.998,0.018,0.993,0.013
9,25.05,75.51,1.019,18.48,1.033,0.014,1.035,0.016
10,25.18,75.45,0.987,18.49,1.004,0.017,0.995,0.008
